is_no,title,status,technical_committee,amendments,reaffirmed_year,price_in_india,price_outside_india,description,preview_url,preview_id
IS 269 : 2015,Ordinary Portland Cement - Specification (Sixth Revision),Active,CED 02 (Cement and Concrete),2,2020,₹ 620.00,"₹ 6,200.00","ICS 91.100.10 CED 02. Harmonized specification covering 33 grade, 43 grade, and 53 grade ordinary Portland cement. Mandatory BIS ISI Mark under Cement (Quality Control) Order. Mandatory parameters: compressive strength at 3, 7, and 28 days, fineness (specific surface by Blaine's air permeability), soundess (Le-Chatelier and autoclave), initial and final setting times.",https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=269,269
IS 14286 : 2010 / IEC 61215 : 2005,Crystalline Silicon Terrestrial Photovoltaic (PV) Modules - Design Qualification and Type Approval,Active,ETD 28 (Solar Photovoltaic Energy Systems),1,2021,"₹ 1,120.00","₹ 11,200.00","ICS 27.160 ETD 28. Sets forth requirements for the design qualification and type approval of terrestrial crystalline silicon photovoltaic modules suitable for long-term operation in general open-air climates. Mandatory under Ministry of New and Renewable Energy (MNRE) Solar Photovoltaics (Quality Control) Order under BIS Scheme II (CRS). Qualification tests include thermal cycling, damp heat, mechanical load, hail impact, and electrical insulation tests.",https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=14286,14286
IS 16046 : Part 2 : 2018 / IEC 62133-2 : 2017,Secondary Cells and Batteries Containing Alkaline or Other Non-Acid Electrolytes - Safety Requirements for Portable Sealed Secondary Cells: Part 2 Lithium Systems,Active,ETD 11 (Secondary Cells and Batteries),1,2023,₹ 820.00,"₹ 8,200.00","ICS 29.220.30 ETD 11. Safety requirements for portable sealed secondary lithium cells and batteries (for use in smartphones, laptops, power banks, and portable electronics). Mandatory under Compulsory Registration Scheme (CRS - Scheme II). Tests include continuous charging at constant voltage, external short circuit, free fall, thermal abuse, crush, and overcharging.",https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=16046_2,16046_2
IS 13252 : Part 1 : 2010 / IEC 60950-1 : 2005,Information Technology Equipment - Safety: Part 1 General Requirements,Active,LITD 10 (IT and Software Components),2,2020,"₹ 1,840.00","₹ 18,400.00","ICS 35.020 LITD 10. Foundational standard under MeitY's Compulsory Registration Scheme (CRS) for electronic goods: laptops, tablets, servers, printers, displays, power adapters, and POS terminals. Prescribes electrical safety, insulation resistance, creepage and clearance distances, protection against electric shock, energy hazards, fire, and mechanical hazards.",https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=13252_1,13252_1
IS 1885 : Part 30 : 2023 ( IEC 60050-601 : 1985),Electrotechnical Vocabulary - Part 30 Overhead Transmission and Distribution of Electrical Energy,Active,ETD 01,0,,₹ 340.00,"₹ 3,400.00",This standard was first published as IS 1885 (Part 30) : 1971 ‘Electrotechnical vocabulary: Part 30 Overhead transmission and distribution of electrical energy’ based on IEC 60050-25 : 1965. IEC 60050- 25 : 1965 was later withdrawn and IEC 60050-601:1985 was published to cover the requirement of electrotechnical vocabulary on overhead transmission and distribution of electrical energy.,https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=1885_30_2023,1885_30_2023
IS 12032 : Part 6 : 1987 ( IEC 617-6 : 1983),Graphical Symbols for Diagrams in the Field of Electrotechnology: Part 6 Production and Conversion of Electrical Energy,Active,ETD 1,0,2019,₹ 430.00,"₹ 4,300.00","IS 12032 : Part 6 : 1987/IEC 617-6 : 1983 Graphical symbols for diagrams in the field of electrotechnology: Part 6 Production and conversion of electrical energy UDC 621.3.061 : 003.62 ETD 1 Reaffirmed 2019 National Foreword This Indian Standard (Part 6) which is identical with IEC Pub617-6 (1983) `Graphical symbols for diagrams - Part 6: Productionand conversion of electrical energy, issued by the InternationalElectrotechnical Commission (IEC), was adopted by the Bureau ofIndian Standards on the recommendation of the BasicElectrotechnical Standards Sectional Committee and approval of theElectrotechnical Division Council. Cross Reference International Standard Corresponding Indian Standard IEC Pub 76 : 1967 IS2026 Power transformers (in 4 parts) IEC Pub 375 : 1972 IS 9499 : 1980 Conventions concerningelectric and magnetic circuits | National Foreword This Indian Standard (Part 6) which is identical with IEC Pub617-6 (1983) `Graphical symbols for diagrams - Part 6: Productionand conversion of electrical energy, issued by the InternationalElectrotechnical Commission (IEC), was adopted by the Bureau ofIndian Standards on the recommendation of the BasicElectrotechnical Standards Sectional Committee and approval of theElectrotechnical Division Council. Cross Reference International Standard Corresponding Indian Standard IEC Pub 76 : 1967 IS2026 Power transformers (in 4 parts) IEC Pub 375 : 1972 IS 9499 : 1980 Conventions concerningelectric and magnetic circuits | This Indian Standard (Part 6) which is identical with IEC Pub617-6 (1983) `Graphical symbols for diagrams - Part 6: Productionand conversion of electrical energy, issued by the InternationalElectrotechnical Commission (IEC), was adopted by the Bureau ofIndian Standards on the recommendation of the BasicElectrotechnical Standards Sectional Committee and approval of theElectrotechnical Division Council. Cross Reference International Standard Corresponding Indian Standard IEC Pub 76 : 1967 IS2026 Power transformers (in 4 parts) IEC Pub 375 : 1972 IS 9499 : 1980 Conventions concerningelectric and magnetic circuits | Cross Reference International Standard Corresponding Indian Standard IEC Pub 76 : 1967 IS2026 Power transformers (in 4 parts) IEC Pub 375 : 1972 IS 9499 : 1980 Conventions concerningelectric and magnetic circuits",https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=12032_6,12032_6
IS 12346 : 1999,Testing Equipment for AC Electrical Energy Meters,Active,ETD 13,0,2019,N/A,N/A,"IS 12346 : 1999 Testing Equipment for AC Electrical Energy Meters ICS 91.140.50 ETD 13 Reaffirmed 2019 1 Scope This standard is applicable to three-phase and/or single-phaseequipment used for type, routine and acceptance testing ofelectrical energy meters of Classes 0.2, 0.5, 1 and 2. | 1 Scope This standard is applicable to three-phase and/or single-phaseequipment used for type, routine and acceptance testing ofelectrical energy meters of Classes 0.2, 0.5, 1 and 2. | This standard is applicable to three-phase and/or single-phaseequipment used for type, routine and acceptance testing ofelectrical energy meters of Classes 0.2, 0.5, 1 and 2.",https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=12346,12346
IS 13450 : Part 2 : Sec 76 : 2019 ( IEC 60601-2-76 : 2018),Medical Electrical Equipment Part 2 Particular Requirements for Basic Safety and Essential Performance Section 76 Low energy ionized gas haemostasis equipment,Active,MHD 15,0,,₹ 430.00,"₹ 4,300.00","The text of IEC Standard has been approved as suitable for publication as an Indian Standard without deviations. Certain terminologies and conventions are, however, not identical to those used in Indian Standards. Attention is particularly drawn to the following: a) Wherever the words ‘International Standard’ appear referring to this standard, they should be read as ‘Indian Standard’. b) Comma (,) has been used as a decimal marker, while in Indian Standards, the current practice is to use a point (.) as the decimal marker. | a) Wherever the words ‘International Standard’ appear referring to this standard, they should be read as ‘Indian Standard’. b) Comma (,) has been used as a decimal marker, while in Indian Standards, the current practice is to use a point (.) as the decimal marker. | b) Comma (,) has been used as a decimal marker, while in Indian Standards, the current practice is to use a point (.) as the decimal marker.",https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=13450_2_76,13450_2_76
IS 16996 : 2018 ( IEC 60364-8-1 : 2014),Low-Voltage Electrical Installations — Energy Efficiency,Active,ETD 20,0,,₹ 680.00,"₹ 6,800.00","This standard provides additional requirements, measures and recommendations for the design, erection and verification of all types of low-voltage electrical installation including local production and storage of energy for optimizing the overall efficient use of electricity. This standard is applicable to the electrical installation of a building or system and does not apply to products. The energy efficiency of these products and their operational requirements are covered by the relevant product standards. This standard does not specifically address building automation systems. The text of IEC Standard has been approved as suitable for publication as an Indian Standard without deviations. Certain terminologies and conventions are, however, not identical to those used in Indian Standards. Attention is particularly drawn to the following: a) Wherever the words ‘International Standard’ appear referring to this standard, they should be read as ‘Indian Standard’. b) Comma (,) has been used as a decimal marker, while in Indian Standards, the current practice is to use a point (.) as the decimal marker. | This standard is applicable to the electrical installation of a building or system and does not apply to products. The energy efficiency of these products and their operational requirements are covered by the relevant product standards. This standard does not specifically address building automation systems. The text of IEC Standard has been approved as suitable for publication as an Indian Standard without deviations. Certain terminologies and conventions are, however, not identical to those used in Indian Standards. Attention is particularly drawn to the following: a) Wherever the words ‘International Standard’ appear referring to this standard, they should be read as ‘Indian Standard’. b) Comma (,) has been used as a decimal marker, while in Indian Standards, the current practice is to use a point (.) as the decimal marker. | This standard does not specifically address building automation systems. The text of IEC Standard has been approved as suitable for publication as an Indian Standard without deviations. Certain terminologies and conventions are, however, not identical to those used in Indian Standards. Attention is particularly drawn to the following: a) Wherever the words ‘International Standard’ appear referring to this standard, they should be read as ‘Indian Standard’. b) Comma (,) has been used as a decimal marker, while in Indian Standards, the current practice is to use a point (.) as the decimal marker. | The text of IEC Standard has been approved as suitable for publication as an Indian Standard without deviations. Certain terminologies and conventions are, however, not identical to those used in Indian Standards. Attention is particularly drawn to the following: a) Wherever the words ‘International Standard’ appear referring to this standard, they should be read as ‘Indian Standard’. b) Comma (,) has been used as a decimal marker, while in Indian Standards, the current practice is to use a point (.) as the decimal marker. | a) Wherever the words ‘International Standard’ appear referring to this standard, they should be read as ‘Indian Standard’. b) Comma (,) has been used as a decimal marker, while in Indian Standards, the current practice is to use a point (.) as the decimal marker. | b) Comma (,) has been used as a decimal marker, while in Indian Standards, the current practice is to use a point (.) as the decimal marker.",https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=16996,16996
IS 17067 : Part 1 : 2018 ( IEC 62933-1 : 2018),Electrical Energy Storage Systems Part 1 Vocabulary,Active,ETD 52,0,,₹ 560.00,"₹ 5,600.00","The text of the IEC Standard has been approved as suitable for publication as an Indian Standard without deviations. Certain terminologies and conventions are, however, not identical to those used in Indian Standards. Attention is particularly drawn to the following: a) Wherever the words ‘International Standard’ appear referring to this standard, they should be read as ‘Indian Standard’. b) Comma (,) has been used as a decimal marker, while in Indian Standards the current practice is to use a point (.) as the decimal marker. | a) Wherever the words ‘International Standard’ appear referring to this standard, they should be read as ‘Indian Standard’. b) Comma (,) has been used as a decimal marker, while in Indian Standards the current practice is to use a point (.) as the decimal marker. | b) Comma (,) has been used as a decimal marker, while in Indian Standards the current practice is to use a point (.) as the decimal marker.",https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=17067_1,17067_1
IS 282 : 1982,Hard-drawn copper conductors for overhead power transmission,withdrawn,ETD 37,0,1990,N/A,N/A,,https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=282,282
IS 398 : Part 1 : 1996,Aluminium conductors for overhead transmission purposes: Part 1 Aluminium stranded conductors,Active,ETD 37,1,2018,N/A,N/A,IS 398 : Part 1 : 1996 Aluminium conductors for overhead transmission purposes: Part 1 Aluminium stranded conductors ICS 31.080 ETD 37 Reaffirmed 2018 1 Scope 1.1 This standard (Part 1) covers the requirements and tests foraluminium stranded conductors used for overhead transmissionpurposes. 2 References IS 1778 :1980 Reels and drums for bare conductors IS 1885 : Part 32 :1993 Electrotechnical vocabulary:Part 32 Electric cables IS 5484 :1978 EC grade aluminium rods produced by continuous casting and rolling IS 7623 :1993 Lithium base grease for industrial purposes | 1 Scope 1.1 This standard (Part 1) covers the requirements and tests foraluminium stranded conductors used for overhead transmissionpurposes. 2 References IS 1778 :1980 Reels and drums for bare conductors IS 1885 : Part 32 :1993 Electrotechnical vocabulary:Part 32 Electric cables IS 5484 :1978 EC grade aluminium rods produced by continuous casting and rolling IS 7623 :1993 Lithium base grease for industrial purposes | 1.1 This standard (Part 1) covers the requirements and tests foraluminium stranded conductors used for overhead transmissionpurposes. 2 References IS 1778 :1980 Reels and drums for bare conductors IS 1885 : Part 32 :1993 Electrotechnical vocabulary:Part 32 Electric cables IS 5484 :1978 EC grade aluminium rods produced by continuous casting and rolling IS 7623 :1993 Lithium base grease for industrial purposes | 2 References IS 1778 :1980 Reels and drums for bare conductors IS 1885 : Part 32 :1993 Electrotechnical vocabulary:Part 32 Electric cables IS 5484 :1978 EC grade aluminium rods produced by continuous casting and rolling IS 7623 :1993 Lithium base grease for industrial purposes | IS 1778 :1980 Reels and drums for bare conductors IS 1885 : Part 32 :1993 Electrotechnical vocabulary:Part 32 Electric cables IS 5484 :1978 EC grade aluminium rods produced by continuous casting and rolling IS 7623 :1993 Lithium base grease for industrial purposes | IS 1885 : Part 32 :1993 Electrotechnical vocabulary:Part 32 Electric cables IS 5484 :1978 EC grade aluminium rods produced by continuous casting and rolling IS 7623 :1993 Lithium base grease for industrial purposes | IS 5484 :1978 EC grade aluminium rods produced by continuous casting and rolling IS 7623 :1993 Lithium base grease for industrial purposes | IS 7623 :1993 Lithium base grease for industrial purposes,https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=398_1,398_1
IS B398 : Part 1 : 1996,Aluminium Conductors for Overhead Transmission Purposes — Specification Part 1 Aluminium Stranded Conductors,Active,ETD 37,0,,N/A,N/A,,https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=b398_1,b398_1
IS 398 : Part 2 : 2025,Aluminium Conductor for Overhead Transmission Purposes - Specification - Part 2 Aluminium Conductors Galvanized Steel Reinforced,Active,ETD 37,0,,N/A,N/A,"IS 398 : Part 2 : 2025 Aluminium Conductor for Overhead Transmission Purposes - Specification - Part 2 Aluminium Conductors Galvanized Steel Reinforced ICS 29.060.01; 29.240.20 ETD 37 1 SCOPE 1.1 This standard (Part 2) covers the requirements and tests for aluminium conductors galvanized steel reinforced (ACSR) used for overhead transmission lines. 1.2 This standard specifies the requirement of aluminium conductors galvanized steel reinforced with specified dimensions and number of wires. 2 REFERENCES The standards listed in Annex A contain provisions which, through reference in this text, constitute provisions of this standard. At the time of publication, the editions indicated were valid. All standards are subject to revision and parties to agreements based on this standard are encouraged to investigate the possibility of applying the most recent edition of these standards. | IS 398 : Part 2 : 2025 Aluminium Conductor for Overhead Transmission Purposes - Specification - Part 2 Aluminium Conductors Galvanized Steel Reinforced | 1.1 This standard (Part 2) covers the requirements and tests for aluminium conductors galvanized steel reinforced (ACSR) used for overhead transmission lines. | 1.2 This standard specifies the requirement of aluminium conductors galvanized steel reinforced with specified dimensions and number of wires. | The standards listed in Annex A contain provisions which, through reference in this text, constitute provisions of this standard. At the time of publication, the editions indicated were valid. All standards are subject to revision and parties to agreements based on this standard are encouraged to investigate the possibility of applying the most recent edition of these standards.",https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=398_2_2025,398_2_2025
IS 398 : Part 3 : 1976,"Aluminium conductors for overhead transmission purposes: Part 3 Aluminium conductors, aluminized steel reinforced",Active,ETD 37,3,2019,N/A,N/A,"IS 398 : Part 3 : 1976 Aluminium conductors for overhead transmission purposes: Part 3 Aluminium conductors, aluminized steel reinforced UDC 621.315.55 : 669.71 : 621.315.1 ETD 37 Reaffirmed 2014",https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=398_3_1976_reff2019,398_3_1976_reff2019
IS 398 : Part 4 : 1994,Aluminium conductors for overhead transmission purposes: Part 4 Aluminium alloy stranded conductors (aluminium magnesium silicon type),Active,ETD 37,1,2021,N/A,N/A,"IS 398 : Part 4 : 1994 Aluminium conductors for overhead transmission purposes: Part 4 Aluminium alloy stranded conductors (aluminium magnesium silicon type) UDC 621.315.145 : 621.315.55 [669.71 - 427] ETD 37 Reaffirmed 2021 1 Scope 1.1 This standard (Part 4) covers the requirements and tests for aluminium alloy stranded conductors of the aluminium-magnesium-silicon type for overhead power transmissionpurposes. 2 References IS 1885 : Part 32 :1971 Electrotechnical vocabulary: Part 32 Cables, conductors and accessories for electricity supply IS 9997 :1981 Aluminium alloy redraw rods for electrical purposes | 1 Scope 1.1 This standard (Part 4) covers the requirements and tests for aluminium alloy stranded conductors of the aluminium-magnesium-silicon type for overhead power transmissionpurposes. 2 References IS 1885 : Part 32 :1971 Electrotechnical vocabulary: Part 32 Cables, conductors and accessories for electricity supply IS 9997 :1981 Aluminium alloy redraw rods for electrical purposes | 1.1 This standard (Part 4) covers the requirements and tests for aluminium alloy stranded conductors of the aluminium-magnesium-silicon type for overhead power transmissionpurposes. 2 References IS 1885 : Part 32 :1971 Electrotechnical vocabulary: Part 32 Cables, conductors and accessories for electricity supply IS 9997 :1981 Aluminium alloy redraw rods for electrical purposes | 2 References IS 1885 : Part 32 :1971 Electrotechnical vocabulary: Part 32 Cables, conductors and accessories for electricity supply IS 9997 :1981 Aluminium alloy redraw rods for electrical purposes | IS 1885 : Part 32 :1971 Electrotechnical vocabulary: Part 32 Cables, conductors and accessories for electricity supply IS 9997 :1981 Aluminium alloy redraw rods for electrical purposes | IS 9997 :1981 Aluminium alloy redraw rods for electrical purposes",https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=398_4_1994_reff2021,398_4_1994_reff2021
IS 375 : 1963,"Marking and arrangement for switchgears bus-bars, main connections and auxiliary wiring",withdrawn,ETD 7,0,,N/A,N/A,,https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=375,375
IS/IEC 517 : 1990,Gas Insulated Metal Enclosed Switchgear for Rated Voltages of 72.5 kV and above,withdrawn,ETD 8,1,2012,N/A,N/A,,https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=ie517,ie517
IS 1885 : Part 17 : 2024 ( IEC 60050-441 : 1984),Electrotechnical Vocabulary - Part 17 Switchgear and Control Gear,Active,ETD 01,0,,₹ 770.00,"₹ 7,700.00","IS 1885 : Part 17 : 2024/IEC 60050-441 : 1984 Electrotechnical Vocabulary - Part 17 Switchgear and Control Gear | ICS 01.040.29; 29.120.50; 29.130 | This standard was first revised in 1979 to align it with IEC 60050-441 : 1974. This second revision has been undertaken to take into consideration the developments that have taken place subsequently and also to align with the latest version of IEC 60050-441 : 1984 | The text of IEC standard has been approved as suitable for publication as an Indian Standard without deviations. Certain terminologies and conventions are, however, not identical to those used in Indian Standards. Attention is particularly drawn to the following: | a) Wherever the words 'International Standard' appear referring to this standard, they should be read as 'Indian Standard'; and | b) Comma (,) has been used as a decimal marker, while in Indian Standards the current practice is to use a point (.) as the decimal marker.",https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=1885_17_2024,1885_17_2024
IS 2032 : Part 7 : 1974,Graphical symbols used in electrotechnology: Part 7 Switchgear and auxiliaries,withdrawn,ETD 1,0,,N/A,N/A,,https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=2032_7,2032_7
IS 2147 : 1962,Degrees of protection provided by enclosures for low voltage switchgear and controlgear,withdrawn,ETD 17,0,,N/A,N/A,,https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=2147,2147
IS 3072 : 1975,Code of practice for installation and maintenance of switchgear,withdrawn,ETD 7,0,,N/A,N/A,,https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=3072,3072
IS 591 : 1964,Mains transformers for electronic equipment,withdrawn,LTD 8,0,,N/A,N/A,,https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=591,591
IS 592 : 1954,"Audio output transformers for radio receivers, amplifiers, small transmitters and similar other purposes (tentative)",withdrawn,LTD 8,0,,N/A,N/A,,https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=592,592
IS 722 : Part 3 : 1977,"AC electricity meters: Part 3 Three-phase whole current and transformer operated and single-phase transformer operated watt-hour meters, class 2",withdrawn,ETD 13,0,1991,N/A,N/A,,https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=722_3,722_3
IS 722 : Part 9 : 1972,AC electricity meters: Part 9 Three-phase whole current and transformer operated watthour meters and single-phase two-wire transformer operated watthour meters (class 1.0),withdrawn,ETD 13,0,1991,N/A,N/A,,https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=722_9,722_9
